textbox1,textbox3,textbox4,textbox5,textbox6,textbox55,textbox7,textbox56,textbox8,textbox9
"MARKTGEGEVENS ELEKTRICITEIT 2015: MARKTAANDELEN ACTIEVE LEVERANCIERS,""Sinds 2004 bevraagt de VREG maandelijks de netbeheerders met betrekking tot het aantal toegangspunten per leverancier. Gegevens met betrekking tot de geleverde hoeveelheden per leverancier worden slechts 1 keer per jaar opgevraagd met betrekking tot het voorbije kalenderjaar. De statistieken hebben enkel betrekking op het Vlaamse grondgebied en beperken zich tot de activiteiten op het distributienet, gedefinieerd als het net met een nominale spanning lager dan of gelijk aan 70 kV."",De toegangspunten die door Inter-energa (voorheen Interelectra) in het verleden toegekend werden aan een exclusief nachtmeter worden niet opgenomen in de statistieken. In theorie kunnen deze gezinnen weliswaar een andere leverancier kiezen voor levering aan de exclusief nachtmeter. In de praktijk zal dit meestal niet gebeuren.,Tabel 1: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal eindafnemers elektriciteit (toegangspunten),Tabel 2: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal AMR elektriciteitsafnemers (toegangspunten),AMR staat voor automated meter read. Het betreft de grootste elektriciteitsafnemers van wie de meterstanden dagelijks van op afstand worden uitgelezen. Een speciaal aangepaste meter houdt voor elektriciteit het verbruik bij per kwartier en voor gas per uur. Er is hierbij geen tussenkomst van een meteropnemer nodig.,Tabel 3: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal MMR elektriciteitsafnemers (toegangspunten),MMR staat voor monthly meter read. Het betreft de elektriciteitsafnemers van wie de meterstanden maandelijks worden uitgelezen. Meestal is hiervoor de tussenkomst van een meteropnemer nodig.,""Tabel 4: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal jaargelezen, professionele elektriciteitsafnemers (toegangspunten)"",""Tabel 5: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal jaargelezen, huishoudelijke elektriciteitsafnemers (toegangspunten)"""

textbox34,LeverancierNaam,Color1,DatumID,Percentage
"Leverancier,Electrabel Customer Solutions NV,0,dec 2015,""42,43%"""
"Leverancier,Electrabel Customer Solutions NV,0,nov 2015,""42,59%"""
"Leverancier,Electrabel Customer Solutions NV,0,okt 2015,""42,69%"""
"Leverancier,Electrabel Customer Solutions NV,0,sep 2015,""42,78%"""
"Leverancier,Electrabel Customer Solutions NV,0,aug 2015,""42,85%"""
"Leverancier,Electrabel Customer Solutions NV,0,jul 2015,""42,88%"""
"Leverancier,Electrabel Customer Solutions NV,0,jun 2015,""42,94%"""
"Leverancier,Electrabel Customer Solutions NV,0,mei 2015,""43,03%"""
"Leverancier,Electrabel Customer Solutions NV,0,apr 2015,""43,18%"""
"Leverancier,Electrabel Customer Solutions NV,0,mrt 2015,""43,31%"""
"Leverancier,Electrabel Customer Solutions NV,0,feb 2015,""43,38%"""
"Leverancier,Electrabel Customer Solutions NV,0,jan 2015,""43,35%"""
"Leverancier,EDF Luminus NV,1,dec 2015,""21,21%"""
"Leverancier,EDF Luminus NV,1,nov 2015,""21,14%"""
"Leverancier,EDF Luminus NV,1,okt 2015,""21,05%"""
"Leverancier,EDF Luminus NV,1,sep 2015,""20,98%"""
"Leverancier,EDF Luminus NV,1,aug 2015,""20,93%"""
"Leverancier,EDF Luminus NV,1,jul 2015,""20,90%"""
"Leverancier,EDF Luminus NV,1,jun 2015,""20,86%"""
"Leverancier,EDF Luminus NV,1,mei 2015,""20,79%"""
"Leverancier,EDF Luminus NV,1,apr 2015,""20,74%"""
"Leverancier,EDF Luminus NV,1,mrt 2015,""20,68%"""
"Leverancier,EDF Luminus NV,1,feb 2015,""20,64%"""
"Leverancier,EDF Luminus NV,1,jan 2015,""20,59%"""
"Leverancier,eni gas & power NV,0,dec 2015,""10,73%"""
"Leverancier,eni gas & power NV,0,nov 2015,""10,77%"""
"Leverancier,eni gas & power NV,0,okt 2015,""10,80%"""
"Leverancier,eni gas & power NV,0,sep 2015,""10,83%"""
