textbox1,textbox3,textbox4,textbox5,textbox6,textbox55,textbox7,textbox56,textbox8,textbox9
"MARKTGEGEVENS AARDGAS 2015: MARKTAANDELEN ACTIEVE LEVERANCIERS,Sinds 1 januari 2004 bevraagt de VREG maandelijks de netbeheerders met betrekking tot het aantal toegangspunten per leverancier. Gegevens met betrekking tot de geleverde hoeveelheden aardgas per leverancier worden slechts 1 keer per jaar opgevraagd met betrekking tot het voorbije kalenderjaar. De statistieken hebben enkel betrekking op het Vlaamse grondgebied en beperken zich tot de activiteiten op het distributienet.,,Tabel 1: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal aardgasafnemers (toegangspunten),Tabel 2: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal AMR aardgasafnemers (toegangspunten),AMR staat voor automated meter read. Het betreft de grootste aardgasafnemers van wie de meterstanden dagelijks van op afstand worden uitgelezen. Een speciaal aangepaste meter houdt voor elektriciteit het verbruik bij per kwartier en voor gas per uur. Er is hierbij geen tussenkomst van een meteropnemer nodig.,Tabel 3: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal MMR aardgasafnemers (toegangspunten),MMR staat voor monthly meter read. Het betreft de elektriciteitsafnemers van wie de meterstanden maandelijks worden uitgelezen. Meestal is hiervoor de tussenkomst van een meteropnemer nodig.,""Tabel 4: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal jaargelezen, professionele aardgasafnemers (toegangspunten)"",Tabel 5: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal huishoudelijke aardgasafnemers (toegangspunten)"

textbox34,LeverancierNaam,Color1,DatumID,Percentage
"Leverancier,Electrabel Customer Solutions NV,0,dec 2015,""38,74%"""
"Leverancier,Electrabel Customer Solutions NV,0,nov 2015,""38,87%"""
"Leverancier,Electrabel Customer Solutions NV,0,okt 2015,""38,96%"""
"Leverancier,Electrabel Customer Solutions NV,0,sep 2015,""39,04%"""
"Leverancier,Electrabel Customer Solutions NV,0,aug 2015,""39,09%"""
"Leverancier,Electrabel Customer Solutions NV,0,jul 2015,""39,15%"""
"Leverancier,Electrabel Customer Solutions NV,0,jun 2015,""39,21%"""
"Leverancier,Electrabel Customer Solutions NV,0,mei 2015,""39,31%"""
"Leverancier,Electrabel Customer Solutions NV,0,apr 2015,""39,53%"""
"Leverancier,Electrabel Customer Solutions NV,0,mrt 2015,""39,71%"""
"Leverancier,Electrabel Customer Solutions NV,0,feb 2015,""39,78%"""
"Leverancier,Electrabel Customer Solutions NV,0,jan 2015,""39,69%"""
"Leverancier,EDF Luminus NV,1,dec 2015,""18,56%"""
"Leverancier,EDF Luminus NV,1,nov 2015,""18,44%"""
"Leverancier,EDF Luminus NV,1,okt 2015,""18,32%"""
"Leverancier,EDF Luminus NV,1,sep 2015,""18,21%"""
"Leverancier,EDF Luminus NV,1,aug 2015,""18,13%"""
"Leverancier,EDF Luminus NV,1,jul 2015,""18,08%"""
"Leverancier,EDF Luminus NV,1,jun 2015,""18,01%"""
"Leverancier,EDF Luminus NV,1,mei 2015,""17,90%"""
"Leverancier,EDF Luminus NV,1,apr 2015,""17,80%"""
"Leverancier,EDF Luminus NV,1,mrt 2015,""17,71%"""
"Leverancier,EDF Luminus NV,1,feb 2015,""17,65%"""
"Leverancier,EDF Luminus NV,1,jan 2015,""17,56%"""
"Leverancier,eni gas & power NV,0,dec 2015,""12,34%"""
"Leverancier,eni gas & power NV,0,nov 2015,""12,39%"""
"Leverancier,eni gas & power NV,0,okt 2015,""12,43%"""
"Leverancier,eni gas & power NV,0,sep 2015,""12,46%"""
"Leverancier,eni gas & power NV,0,aug 2015,""12,50%"""
"Leverancier,eni gas & power NV,0,jul 2015,""12,58%"""
"Leverancier,eni gas & power NV,0,jun 2015,""12,65%"""
"Leverancier,eni gas & power NV,0,mei 2015,""12,72%"""
"Leverancier,eni gas & power NV,0,apr 2015,""12,85%"""
"Leverancier,eni gas & power NV,0,mrt 2015,""12,94%"""
"Leverancier,eni gas & power NV,0,feb 2015,""13,00%"""
"Leverancier,eni gas & power NV,0,jan 2015,""13,06%"""
"Leverancier,Essent Belgium NV,1,dec 2015,""9,96%"""
"Leverancier,Essent Belgium NV,1,nov 2015,""10,01%"""
"Leverancier,Essent Belgium NV,1,okt 2015,""10,08%"""
"Leverancier,Essent Belgium NV,1,sep 2015,""10,13%"""
"Leverancier,Essent Belgium NV,1,aug 2015,""10,21%"""
"Leverancier,Essent Belgium NV,1,jul 2015,""10,37%"""
"Leverancier,Essent Belgium NV,1,jun 2015,""10,37%"""
"Leverancier,Essent Belgium NV,1,mei 2015,""10,34%"""
"Leverancier,Essent Belgium NV,1,apr 2015,""10,39%"""
"Leverancier,Essent Belgium NV,1,mrt 2015,""10,35%"""
"Leverancier,Essent Belgium NV,1,feb 2015,""10,35%"""
"Leverancier,Essent Belgium NV,1,jan 2015,""10,44%"""
"Leverancier,Lampiris NV,0,dec 2015,""8,53%"""
"Leverancier,Lampiris NV,0,nov 2015,""8,57%"""
"Leverancier,Lampiris NV,0,okt 2015,""8,61%"""
"Leverancier,Lampiris NV,0,sep 2015,""8,63%"""
"Leverancier,Lampiris NV,0,aug 2015,""8,61%"""
"Leverancier,Lampiris NV,0,jul 2015,""8,36%"""
"Leverancier,Lampiris NV,0,jun 2015,""8,38%"""
"Leverancier,Lampiris NV,0,mei 2015,""8,33%"""
"Leverancier,Lampiris NV,0,apr 2015,""7,55%"""
"Leverancier,Lampiris NV,0,mrt 2015,""7,35%"""
"Leverancier,Lampiris NV,0,feb 2015,""7,41%"""
"Leverancier,Lampiris NV,0,jan 2015,""7,50%"""
"Leverancier,Eneco België BV,1,dec 2015,""4,84%"""
"Leverancier,Eneco België BV,1,nov 2015,""4,83%"""
"Leverancier,Eneco België BV,1,okt 2015,""4,81%"""
"Leverancier,Eneco België BV,1,sep 2015,""4,82%"""
"Leverancier,Eneco België BV,1,aug 2015,""4,84%"""
"Leverancier,Eneco België BV,1,jul 2015,""4,88%"""
"Leverancier,Eneco België BV,1,jun 2015,""4,89%"""
"Leverancier,Eneco België BV,1,mei 2015,""4,89%"""
"Leverancier,Eneco België BV,1,apr 2015,""5,03%"""
"Leverancier,Eneco België BV,1,mrt 2015,""5,08%"""
"Leverancier,Eneco België BV,1,feb 2015,""5,12%"""
"Leverancier,Eneco België BV,1,jan 2015,""5,27%"""
"Leverancier,Netbeheerder,0,dec 2015,""2,82%"""
"Leverancier,Netbeheerder,0,nov 2015,""2,82%"""
"Leverancier,Netbeheerder,0,okt 2015,""2,83%"""
"Leverancier,Netbeheerder,0,sep 2015,""2,83%"""
"Leverancier,Netbeheerder,0,aug 2015,""2,82%"""
"Leverancier,Netbeheerder,0,jul 2015,""2,81%"""
"Leverancier,Netbeheerder,0,jun 2015,""2,80%"""
"Leverancier,Netbeheerder,0,mei 2015,""2,80%"""
"Leverancier,Netbeheerder,0,apr 2015,""2,82%"""
"Leverancier,Netbeheerder,0,mrt 2015,""2,86%"""
"Leverancier,Netbeheerder,0,feb 2015,""2,91%"""
"Leverancier,Netbeheerder,0,jan 2015,""2,94%"""
"Leverancier,OCTA+ Energie NV,1,dec 2015,""1,70%"""
"Leverancier,OCTA+ Energie NV,1,nov 2015,""1,71%"""
"Leverancier,OCTA+ Energie NV,1,okt 2015,""1,72%"""
"Leverancier,OCTA+ Energie NV,1,sep 2015,""1,73%"""
"Leverancier,OCTA+ Energie NV,1,aug 2015,""1,74%"""
"Leverancier,OCTA+ Energie NV,1,jul 2015,""1,77%"""
"Leverancier,OCTA+ Energie NV,1,jun 2015,""1,78%"""
"Leverancier,OCTA+ Energie NV,1,mei 2015,""1,84%"""
"Leverancier,OCTA+ Energie NV,1,apr 2015,""2,20%"""
"Leverancier,OCTA+ Energie NV,1,mrt 2015,""2,20%"""
"Leverancier,OCTA+ Energie NV,1,feb 2015,""2,20%"""
"Leverancier,OCTA+ Energie NV,1,jan 2015,""2,21%"""
"Leverancier,Elegant BVBA,0,dec 2015,""0,83%"""
"Leverancier,Elegant BVBA,0,nov 2015,""0,82%"""
"Leverancier,Elegant BVBA,0,okt 2015,""0,82%"""
"Leverancier,Elegant BVBA,0,sep 2015,""0,81%"""
"Leverancier,Elegant BVBA,0,aug 2015,""0,80%"""
"Leverancier,Elegant BVBA,0,jul 2015,""0,81%"""
"Leverancier,Elegant BVBA,0,jun 2015,""0,81%"""
"Leverancier,Elegant BVBA,0,mei 2015,""0,81%"""
"Leverancier,Elegant BVBA,0,apr 2015,""0,81%"""
"Leverancier,Elegant BVBA,0,mrt 2015,""0,81%"""
"Leverancier,Elegant BVBA,0,feb 2015,""0,63%"""
"Leverancier,Elegant BVBA,0,jan 2015,""0,40%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,dec 2015,""0,44%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,nov 2015,""0,45%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,okt 2015,""0,45%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,sep 2015,""0,45%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,aug 2015,""0,45%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,jul 2015,""0,45%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,jun 2015,""0,45%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,mei 2015,""0,46%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,apr 2015,""0,46%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,mrt 2015,""0,46%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,feb 2015,""0,46%"""
"Leverancier,Elektriciteitsbedrijf Merksplas BVBA,1,jan 2015,""0,46%"""
"Leverancier,Direct Energie Belgium NV,0,dec 2015,""0,30%"""
"Leverancier,Direct Energie Belgium NV,0,nov 2015,""0,25%"""
"Leverancier,Direct Energie Belgium NV,0,okt 2015,""0,18%"""
"Leverancier,Direct Energie Belgium NV,0,sep 2015,""0,14%"""
"Leverancier,Direct Energie Belgium NV,0,aug 2015,""0,11%"""
"Leverancier,Direct Energie Belgium NV,0,jul 2015,""0,07%"""
"Leverancier,Direct Energie Belgium NV,0,jun 2015,""0,03%"""
"Leverancier,Direct Energie Belgium NV,0,mei 2015,""< 0,01%"""
"Leverancier,Direct Energie Belgium NV,0,apr 2015,""< 0,01%"""
"Leverancier,Direct Energie Belgium NV,0,mrt 2015,""0,00%"""
"Leverancier,Direct Energie Belgium NV,0,feb 2015,""0,00%"""
"Leverancier,Direct Energie Belgium NV,0,jan 2015,""0,00%"""
"Leverancier,Total Gas&Power Belgium NV,1,dec 2015,""0,28%"""
"Leverancier,Total Gas&Power Belgium NV,1,nov 2015,""0,23%"""
"Leverancier,Total Gas&Power Belgium NV,1,okt 2015,""0,21%"""
"Leverancier,Total Gas&Power Belgium NV,1,sep 2015,""0,18%"""
"Leverancier,Total Gas&Power Belgium NV,1,aug 2015,""0,15%"""
"Leverancier,Total Gas&Power Belgium NV,1,jul 2015,""0,13%"""
"Leverancier,Total Gas&Power Belgium NV,1,jun 2015,""0,11%"""
"Leverancier,Total Gas&Power Belgium NV,1,mei 2015,""0,11%"""
"Leverancier,Total Gas&Power Belgium NV,1,apr 2015,""0,10%"""
"Leverancier,Total Gas&Power Belgium NV,1,mrt 2015,""0,09%"""
"Leverancier,Total Gas&Power Belgium NV,1,feb 2015,""0,08%"""
"Leverancier,Total Gas&Power Belgium NV,1,jan 2015,""0,08%"""
"Leverancier,Watz BVBA,0,dec 2015,""0,15%"""
"Leverancier,Watz BVBA,0,nov 2015,""0,14%"""
"Leverancier,Watz BVBA,0,okt 2015,""0,13%"""
"Leverancier,Watz BVBA,0,sep 2015,""0,11%"""
"Leverancier,Watz BVBA,0,aug 2015,""0,10%"""
"Leverancier,Watz BVBA,0,jul 2015,""0,09%"""
"Leverancier,Watz BVBA,0,jun 2015,""0,09%"""
"Leverancier,Watz BVBA,0,mei 2015,""0,09%"""
"Leverancier,Watz BVBA,0,apr 2015,""0,08%"""
"Leverancier,Watz BVBA,0,mrt 2015,""0,08%"""
"Leverancier,Watz BVBA,0,feb 2015,""0,08%"""
"Leverancier,Watz BVBA,0,jan 2015,""0,07%"""
"Leverancier,Antargaz Belgium NV,1,dec 2015,""0,15%"""
"Leverancier,Antargaz Belgium NV,1,nov 2015,""0,15%"""
"Leverancier,Antargaz Belgium NV,1,okt 2015,""0,15%"""
"Leverancier,Antargaz Belgium NV,1,sep 2015,""0,14%"""
"Leverancier,Antargaz Belgium NV,1,aug 2015,""0,14%"""
"Leverancier,Antargaz Belgium NV,1,jul 2015,""0,14%"""
"Leverancier,Antargaz Belgium NV,1,jun 2015,""0,13%"""
"Leverancier,Antargaz Belgium NV,1,mei 2015,""0,12%"""
"Leverancier,Antargaz Belgium NV,1,apr 2015,""0,12%"""
"Leverancier,Antargaz Belgium NV,1,mrt 2015,""0,12%"""
"Leverancier,Antargaz Belgium NV,1,feb 2015,""0,11%"""
"Leverancier,Antargaz Belgium NV,1,jan 2015,""0,11%"""
"Leverancier,Elexys NV,0,dec 2015,""0,07%"""
"Leverancier,Elexys NV,0,nov 2015,""0,07%"""
"Leverancier,Elexys NV,0,okt 2015,""0,07%"""
"Leverancier,Elexys NV,0,sep 2015,""0,07%"""
"Leverancier,Elexys NV,0,aug 2015,""0,07%"""
"Leverancier,Elexys NV,0,jul 2015,""0,06%"""
"Leverancier,Elexys NV,0,jun 2015,""0,06%"""
"Leverancier,Elexys NV,0,mei 2015,""0,06%"""
"Leverancier,Elexys NV,0,apr 2015,""0,05%"""
"Leverancier,Elexys NV,0,mrt 2015,""0,05%"""
"Leverancier,Elexys NV,0,feb 2015,""0,05%"""
"Leverancier,Elexys NV,0,jan 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,dec 2015,""0,06%"""
"Leverancier,Elindus BVBA,1,nov 2015,""0,06%"""
"Leverancier,Elindus BVBA,1,okt 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,sep 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,aug 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,jul 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,jun 2015,""0,04%"""
"Leverancier,Elindus BVBA,1,mei 2015,""0,04%"""
"Leverancier,Elindus BVBA,1,apr 2015,""0,04%"""
"Leverancier,Elindus BVBA,1,mrt 2015,""0,03%"""
"Leverancier,Elindus BVBA,1,feb 2015,""0,02%"""
"Leverancier,Elindus BVBA,1,jan 2015,""0,02%"""
"Leverancier,Vlaams Energiebedrijf NV,0,dec 2015,""0,05%"""
"Leverancier,Vlaams Energiebedrijf NV,0,nov 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,okt 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,sep 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,aug 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,jul 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,jun 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,mei 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,apr 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,mrt 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,feb 2015,""0,03%"""
"Leverancier,Vlaams Energiebedrijf NV,0,jan 2015,""0,03%"""
"Leverancier,Eneco Consumenten BV,1,dec 2015,""0,04%"""
"Leverancier,Eneco Consumenten BV,1,nov 2015,""0,04%"""
"Leverancier,Eneco Consumenten BV,1,okt 2015,""0,04%"""
"Leverancier,Eneco Consumenten BV,1,sep 2015,""0,04%"""
"Leverancier,Eneco Consumenten BV,1,aug 2015,""0,04%"""
"Leverancier,Eneco Consumenten BV,1,jul 2015,""0,04%"""
Leverancier,Eneco Consumenten BV,1,jun 2015,
Leverancier,Eneco Consumenten BV,1,mei 2015,
Leverancier,Eneco Consumenten BV,1,apr 2015,
Leverancier,Eneco Consumenten BV,1,mrt 2015,
Leverancier,Eneco Consumenten BV,1,feb 2015,
Leverancier,Eneco Consumenten BV,1,jan 2015,
"Leverancier,Power Online NV,0,dec 2015,""0,04%"""
"Leverancier,Power Online NV,0,nov 2015,""0,04%"""
"Leverancier,Power Online NV,0,okt 2015,""0,04%"""
"Leverancier,Power Online NV,0,sep 2015,""0,04%"""
"Leverancier,Power Online NV,0,aug 2015,""0,03%"""
"Leverancier,Power Online NV,0,jul 2015,""0,03%"""
"Leverancier,Power Online NV,0,jun 2015,""0,03%"""
"Leverancier,Power Online NV,0,mei 2015,""0,03%"""
"Leverancier,Power Online NV,0,apr 2015,""0,03%"""
